hint;simple;participle;past;frequency;translation
11;arise;arisen;arose;0.0029959878283;surgir/levantarse
10;awake;awoken;awoke;0.00483177620691;despertarse
21;be/am/are/is;been;was/were;0.0127217603107;ser/estar
13;bear;born/born;bore;0.00742722486538;soportar/dar a luz
12;beat;beaten;beat;0.00734038004051;golpear
20;become;become;became;0.00769386638864;llegar a ser
18;begin;begun;began;0.006370653593;empezar
1;bend;bent;bent;0.00479981834082;doblar
9;bet;bet;bet;0.00782486352872;apostar
17;bind;bound;bound;0.00535412256028;atar/encuadernar
9;bid;bid;bid;0.00500517788411;pujar
12;bite;bitten;bit;0.00758905993101;morder
0;bleed;bled;bled;0.00399195974912;sangrar
14;blow;blown;blew;0.00647791779042;soplar
10;break;broken;broke;0.00764119618085;romper
0;breed;bred;bred;0.00402590630816;criar
8;bring;brought;brought;0.00840738387533;traer/llevar
9;broadcast;broadcast;broadcast;0.00462879360616;radiar
1;build;built;built;0.00660768780464;edificar
3;burn;burnt/burned;burnt/burned;0.00653211323198;quemar
9;burst;burst;burst;0.0047806128297;reventar
8;buy;bought;bought;0.00762112250293;comprar
0;cast;cast;cast;0.00583845634613;arrojar
8;catch;caught;caught;0.00749349706058;coger
20;come;come;came;0.0111041003617;venir
9;cost;cost;cost;0.00672166519667;costar
9;cut;cut;cut;0.00838948579546;cortar
10;choose;chosen;chose;0.00618699493817;elegir
0;cling;clung;clung;0.00246764014875;agarrarse
5;creep;crept;crept;0.00376825764566;arrastrarse
6;deal;dealt;dealt;0.00707122995525;tratar
16;dig;dug;dug;0.00551970404424;cavar
21;do/does;done;did;0.011381461879;hacer
14;draw;drawn;drew;0.00575503123001;dibujar
6;dream;dreamt/dreamed;dreamt/dreamed;0.00690580916092;soñar
18;drink;drunk;drank;0.00770235410115;beber
11;drive;driven;drove;0.00685438648261;conducir
12;eat;eaten;ate;0.00757339909771;pujar
12;fall;fallen;fell;0.0071075039525;caer
5;feed;fed;fed;0.00607485337688;alimentar
5;feel;felt;felt;0.00854126154477;sentir
8;fight;fought;fought;0.00736792663862;luchar
17;find;found;found;0.00928959941009;encontrar
0;flee;fled;fled;0.00451332807995;huir
14;fly;flown;flew;0.00633115326304;volar
12;forbid;forbidden;forbade;0.00459803567845;prohibir
12;forget;forgotten;forgot;0.00784654183902;olvidar
12;forgive;forgiven;forgave;0.00639040449643;perdonar
10;freeze;frozen;froze;0.00526853992975;helar
12;get;got/gotten;got;0.0114044878602;obtener
12;give;given;gave;0.00929998621365;dar
21;go/goes;gone;went;0.0106263381637;ir
14;grow;grown;grew;0.00650330368158;crecer
17;grind;ground;ground;0.00671234061325;moler
16;hang;hung;hung;0.0069039434085;colgar
2;have;had;had;0.011375168183;haber o tener
6;hear;heard;heard;0.00907892666636;oir
12;hide;hidden;hid;0.00641094130621;ocultar
9;hit;hit;hit;0.00844758183264;golpear
21;hold;held;held;0.00799552040442;agarrar/celebrar
9;hurt;hurt;hurt;0.00833716022864;herir
5;keep;kept;kept;0.00864672661854;conservar
14;know;known;knew;0.0107628709323;saber/conocer
5;kneel;knelt;knelt;0.00328231853701;arrodillarse
0;knit;knit;knit;0.00293999587624;hacer punto
4;lay;laid;laid;0.00638060739208;poner
0;lead;led;led;0.00649715560824;conducir
6;lean;leant;leant;0.00366083654517;apoyarse
6;leap;leapt;leapt;0.00321206124284;brincar
3;learn;learnt/learned;learnt/learned;0.00719559643702;aprender
5;leave;left;left;0.00942135237169;dejar
1;lend;lent;lent;0.00472948486616;prestar
9;let;let;let;0.0103250882298;permitir
12;lie;lain;lay;0.00687278307021;echarse
16;light;lit;lit;0.0069719366814;encender
21;lose;lost;lost;0.00846095654849;perder
2;make;made;made;0.00979967277045;hacer
6;mean;meant;meant;0.00901372286574;significar
5;meet;met;met;0.0084223014956;encontrar
0;mistake;mistaken;mistook;0.00625257593489;equivocar
0;overcome;overcome;overcome;0.00458337237802;vencer
4;pay;paid;paid;0.00791753086119;pagar
9;put;put;put;0.00975743332339;poner
6;read;read;read;0.00841687043827;leer
11;ride;ridden;rode;0.00642401652752;montar
18;ring;rung;rang;0.00616285866717;llamar
11;rise;risen;rose;0.00595359550543;levantarse
20;run;run;ran;0.00852375634747;correr
4;say;said;said;0.0103244781432;decir
12;see;seen;saw;0.0101967730982;ver
8;seek;sought;sought;0.0050158267782;buscar
7;sell;sold;sold;0.00700831421781;vender
1;send;sent;sent;0.00795537381823;enviar
9;set;set;set;0.00831316593172;poner(se)
15;sew;sewed/sewn;sewed;0.00356002387918;coser
12;shake;shaken;shook;0.00533215505128;sacudir
0;shear;shaken;shook;0.0034741010848;esquilar
15;shine;shone;shone;0.00458165513447;brillar
16;shoot;shot;shot;0.00819589953789;disparar
15;show;shown;showed;0.00807091229961;mostrar
18;shrink;shrunk;shrank;0.00349375799021;encogerse
9;shut;shut;shut;0.00862040560733;cerrar
18;sing;sung;sang;0.00646764422803;cantar
18;sink;sunk;sank;0.00449975191193;hundir
21;sit;sat;sat;0.00766151419887;sentarse
5;sleep;slept;slept;0.00753631153118;dormir
16;slide;slid;slid;0.00393607173919;resbalar
3;smell;smelt;smelt;0.00594785332733;oler
15;sow;sowed/sown;sowed;0.00270527224816;sembrar
10;speak;spoken;spoke;0.00742944667578;hablar
0;speed;sped;sped;0.00529137484135;acelerar
3;spell;spelt;spelt;0.00449531415637;deletrear
1;spend;spent;spent;0.00703063693993;gastar
3;spill;split/spilled;split/spilled;0.00610125572551;derramar
18;spin;spun;spun;0.00406858863511;hilar
0;spit;spat;spat;0.00452746654212;escupir
0;split;split;split;0.00633556835456;hender/partir/rajar
3;spoil;spoilt/spoiled;spoilt/spoiled;0.00497164720932;estropear
9;spread;spread;spread;0.00619992663813;extender
18;spring;sprung;sprang;0.00515768482867;saltar
21;stand;stood;stood;0.00738099021112;estar en pie
10;steal;stolen;stole;0.00653022331306;robar
16;stick;stuck;stuck;0.00703645491759;pegar engomar
16;sting;stunk;stung;0.00338901979249;picar
0;stink;stunk;stank/stunk;0.00400395546155;apestar
0;stride;stridden;strode;0.00198211608853;dar zancadas
16;strike;struck;struck;0.00592747339339;golpear
13;swear;sworn;swore;0.00631916980299;jurar
0;sweat;sweat;sweat;0.00553779190218;sudar
5;sweep;swept;swept;0.00434426509214;barrer
15;swell;swollen;swelled;0.00438657989547;hinchar
18;swim;swum;swam;0.00503080386941;nadar
16;swing;swung;swung;0.00463011240969;columpiarse
12;take;taken;took;0.00979235151139;coger
8;teach;taught;taught;0.00682744486267;enseñar
13;tear;torn;tore;0.00534017576719;rasgar
7;tell;told;told;0.0100396002934;decir
8;think;thought;thought;0.0103320314808;pensar
14;throw;thrown;threw;0.00681673450693;arrojar/tirar
0;thrust;thrust;thrust;0.00381138899453;introducir
0;tread;trodden;trod;0.00225424976507;pisar/hollar
21;understand;understood;understood;0.00824427984739;entender
0;undergo;undergone;underwent;0.00191059921207;sufrir
0;undertake;undertaken;undertook;0.00194179590072;emprender
10;wake;woken;woke;0.00659393204265;despertarse
13;wear;worn;wore;0.00640764911936;llevar puesto
10;weave;woven;wove;0.00246764014875;tejer
5;weep;wept;wept;0.00367529923463;llorar
0;wet;wet;wet;0.00637780309203;mojar
21;win;won;won;0.0074428020459;ganar
17;wind;wound;wound;0.00634930330167;enrollar
0;withdraw;withdrawn;withdrew;0.00371104570632;retirarse
0;wring;wrung;wrung;0.00173640336167;torcer
11;write;written;wrote;0.00732147289027;escribir
0;waylay;waylaid;waylaid;0.0;acechar
0;vex;vexed/vext;vexed/vext;0.00118568481576;vejar
